z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-8.9437500000e+01,-1.4196053320e-04,1.0502235006e-04,2.8244120892e+02,1.9946888284e-06,3.6377941673e-06,-1.9196326148e-10,-5.8221746856e-07,-2.8588673447e-09,-2.7507719575e-09,2.3960373980e-11,-9.8189429156e-10,6.6684477412e-10,-1.5592918936e-03,1.4454545455e+00
-8.9812500000e+01,-1.4873309016e-04,1.0319798193e-04,2.8243365705e+02,1.9848014881e-06,3.6731923497e-06,-1.9077902296e-10,-5.7972404740e-07,-2.7586928621e-09,-2.6608342177e-09,2.2857597674e-11,-9.7897719448e-10,7.5385948402e-10,-1.5592877647e-03,1.4515151515e+00
-9.0187500000e+01,-1.5540988731e-04,1.0202745309e-04,2.8242609255e+02,1.9780111260e-06,3.7193377232e-06,-1.8896160000e-10,-5.7719125329e-07,-2.7943646287e-09,-2.7062718984e-09,1.3300760027e-11,-9.8648767805e-10,8.9180287620e-10,-1.5592836913e-03,1.4575757576e+00
-9.0562500000e+01,-1.6171168003e-04,1.0269057846e-04,2.8241852795e+02,1.9736596771e-06,3.7670445844e-06,-1.8815296931e-10,-5.7461725659e-07,-2.8010644893e-09,-2.6294757968e-09,3.0467195401e-11,-1.0117476727e-09,1.0528481730e-09,-1.5592794489e-03,1.4636363636e+00
-9.0937500000e+01,-1.6828120244e-04,1.0485358197e-04,2.8241096380e+02,1.9703496380e-06,3.8162617908e-06,-1.8697962915e-10,-5.7209653906e-07,-2.7611129790e-09,-2.5621419524e-09,5.2286935892e-11,-1.0580119506e-09,1.1898951354e-09,-1.5592753199e-03,1.4696969697e+00
-9.1312500000e+01,-1.7366757567e-04,1.0669218165e-04,2.8240339679e+02,1.9632860563e-06,3.8516810371e-06,-1.8601876652e-10,-5.6976768407e-07,-2.7351199763e-09,-2.5569143555e-09,5.2334065260e-11,-1.1054702063e-09,1.2784849734e-09,-1.5592715923e-03,1.4757575758e+00
-9.1687500000e+01,-1.7831855377e-04,1.0889634454e-04,2.8239585099e+02,1.9558932611e-06,3.8679771471e-06,-1.8565029816e-10,-5.6760664843e-07,-2.7204436578e-09,-2.5184089000e-09,3.4538900430e-11,-1.1424856791e-09,1.3139520543e-09,-1.5592680984e-03,1.4818181818e+00
-9.2062500000e+01,-1.8242550400e-04,1.0943764982e-04,2.8238830816e+02,1.9507891903e-06,3.8652664969e-06,-1.8528008854e-10,-5.6545533829e-07,-2.7806344237e-09,-2.6289843710e-09,8.2444754840e-12,-1.1614971867e-09,1.2703338733e-09,-1.5592651246e-03,1.4878787879e+00
-9.2437500000e+01,-1.8560042096e-04,1.1000524125e-04,2.8238079104e+02,1.9441788626e-06,3.8416852204e-06,-1.8501179254e-10,-5.6320822387e-07,-2.8057111313e-09,-2.7041329280e-09,-2.6984576536e-11,-1.1604575821e-09,1.2036953676e-09,-1.5592626542e-03,1.4939393939e+00
-9.2812500000e+01,-1.8817853358e-04,1.1074209449e-04,2.8237327966e+02,1.9382502756e-06,3.8031478877e-06,-1.8480852468e-10,-5.6096011234e-07,-2.8474797673e-09,-2.7591643904e-09,-5.8733601686e-11,-1.1478163898e-09,1.1239608513e-09,-1.5592607620e-03,1.5000000000e+00
-9.3187500000e+01,-1.8983286585e-04,1.1164108257e-04,2.8236577576e+02,1.9320368637e-06,3.7529246569e-06,-1.8452320585e-10,-5.5878492203e-07,-2.8847163212e-09,-2.8388892325e-09,-7.5680804760e-11,-1.1316954697e-09,1.0434982245e-09,-1.5592593719e-03,1.5060606061e+00
-9.3562500000e+01,-1.9099788287e-04,1.1198592514e-04,2.8235829135e+02,1.9288848327e-06,3.6959924658e-06,-1.8449918409e-10,-5.5661895081e-07,-2.8460558175e-09,-2.8906379012e-09,-8.5601332860e-11,-1.1276827409e-09,9.9284162328e-10,-1.5592581144e-03,1.5121212121e+00
-9.3937500000e+01,-1.9078548535e-04,1.1115554282e-04,2.8235079843e+02,1.9306945245e-06,3.6374627349e-06,-1.8414773850e-10,-5.5438196374e-07,-2.9340362784e-09,-3.0787152064e-09,-1.2545009383e-10,-1.1314583035e-09,9.5839737220e-10,-1.5592571159e-03,1.5181818182e+00
-9.4312500000e+01,-1.8946053698e-04,1.0989378478e-04,2.8234329796e+02,1.9323756658e-06,3.5813684974e-06,-1.8377070649e-10,-5.5216532038e-07,-2.9541210936e-09,-3.1644459852e-09,-1.5472080571e-10,-1.1415531059e-09,9.6203683660e-10,-1.5592560331e-03,1.5242424242e+00
-9.4687500000e+01,-1.8731885541e-04,1.0818174413e-04,2.8233578560e+02,1.9350044562e-06,3.5291980800e-06,-1.8330455154e-10,-5.4992279849e-07,-2.9600611007e-09,-3.2211044976e-09,-1.6062753573e-10,-1.1495855668e-09,9.9296221454e-10,-1.5592547871e-03,1.5303030303e+00
-9.5062500000e+01,-1.8447628303e-04,1.0680679789e-04,2.8232825896e+02,1.9397299828e-06,3.4866341021e-06,-1.8345478508e-10,-5.4757897579e-07,-2.9642748360e-09,-3.2255999613e-09,-1.5084914979e-10,-1.1515825974e-09,1.0432836587e-09,-1.5592529928e-03,1.5363636364e+00
-9.5437500000e+01,-1.8123383407e-04,1.0728262362e-04,2.8232072996e+02,1.9434604940e-06,3.4577652261e-06,-1.8351435177e-10,-5.4518667533e-07,-2.9236683015e-09,-3.1661465694e-09,-1.5911789644e-10,-1.1350618363e-09,1.1168376913e-09,-1.5592505544e-03,1.5424242424e+00
-9.5812500000e+01,-1.7941128841e-04,1.0874873354e-04,2.8231318968e+02,1.9458888592e-06,3.4471490298e-06,-1.8216007620e-10,-5.4270946355e-07,-2.9897375266e-09,-3.2442052513e-09,-1.7914047363e-10,-1.1117836491e-09,1.1911844175e-09,-1.5592478102e-03,1.5484848485e+00
-9.6187500000e+01,-1.7856229163e-04,1.1027188512e-04,2.8230564532e+02,1.9464473493e-06,3.4541257244e-06,-1.8135596849e-10,-5.4036785707e-07,-2.9933183659e-09,-3.1570868853e-09,-1.6952326831e-10,-1.0727399834e-09,1.2326507678e-09,-1.5592442495e-03,1.5545454545e+00
-9.6562500000e+01,-1.7898380909e-04,1.1225683993e-04,2.8229810326e+02,1.9438791695e-06,3.4746932944e-06,-1.8051840394e-10,-5.3815385128e-07,-2.9442471576e-09,-3.0493086727e-09,-1.3738404504e-10,-1.0239138754e-09,1.2356024978e-09,-1.5592399723e-03,1.5606060606e+00
-9.6937500000e+01,-1.8112992928e-04,1.1544470716e-04,2.8229056683e+02,1.9393670687e-06,3.5097390294e-06,-1.7960087560e-10,-5.3589024791e-07,-2.8861481388e-09,-2.9608198645e-09,-1.0530730365e-10,-9.8222553435e-10,1.2309594455e-09,-1.5592352459e-03,1.5666666667e+00
-9.7312500000e+01,-1.8482727238e-04,1.1963737907e-04,2.8228303832e+02,1.9348927429e-06,3.5547010646e-06,-1.7878010334e-10,-5.3354295516e-07,-2.7974705288e-09,-2.8100813517e-09,-5.4793923200e-11,-9.6042841176e-10,1.2243048416e-09,-1.5592303066e-03,1.5727272727e+00
-9.7687500000e+01,-1.9019968072e-04,1.2307761359e-04,2.8227549617e+02,1.9288995298e-06,3.6076661967e-06,-1.7714709504e-10,-5.3126387759e-07,-2.7540095695e-09,-2.7503920213e-09,-6.0991272766e-12,-9.6352995468e-10,1.2013789269e-09,-1.5592256518e-03,1.5787878788e+00
-9.8062500000e+01,-1.9627787419e-04,1.2615467586e-04,2.8226792457e+02,1.9182607051e-06,3.6583509198e-06,-1.7541543328e-10,-5.2906123303e-07,-2.6919644466e-09,-2.6378161163e-09,3.0489781722e-11,-9.8764221974e-10,1.1644574256e-09,-1.5592212594e-03,1.5848484848e+00
-9.8437500000e+01,-2.0229508376e-04,1.2850211638e-04,2.8226034819e+02,1.9037094856e-06,3.7045602080e-06,-1.7372453463e-10,-5.2695031732e-07,-2.6682993637e-09,-2.5977139181e-09,5.0334531115e-11,-1.0252998832e-09,1.1284413572e-09,-1.5592172386e-03,1.5909090909e+00
-9.8812500000e+01,-2.0824021232e-04,1.3065864868e-04,2.8225279153e+02,1.8839627390e-06,3.7336912331e-06,-1.7267642050e-10,-5.2479154974e-07,-2.6422388470e-09,-2.5459403919e-09,8.3060438535e-11,-1.0607841603e-09,1.1124016381e-09,-1.5592136599e-03,1.5969696970e+00
-9.9187500000e+01,-2.1317748956e-04,1.3012320218e-04,2.8224524060e+02,1.8602952805e-06,3.7461499451e-06,-1.7159069445e-10,-5.2276356233e-07,-2.5661003205e-09,-2.4222045098e-09,1.1375771155e-10,-1.1060991358e-09,1.0768241552e-09,-1.5592106071e-03,1.6030303030e+00
-9.9562500000e+01,-2.1738342343e-04,1.2612666259e-04,2.8223767012e+02,1.8329888695e-06,3.7363779080e-06,-1.7004867918e-10,-5.2088584104e-07,-2.5902891180e-09,-2.5014782712e-09,1.0896712303e-10,-1.1469039669e-09,1.0131747214e-09,-1.5592085228e-03,1.6090909091e+00
-9.9937500000e+01,-2.1971118854e-04,1.1970523181e-04,2.8223009697e+02,1.8024443537e-06,3.7051682781e-06,-1.6954941194e-10,-5.1882141779e-07,-2.5609592969e-09,-2.5072510108e-09,1.0178804540e-10,-1.1643305556e-09,9.3885353273e-10,-1.5592069379e-03,1.6151515152e+00
-1.0031250000e+02,-2.2009815963e-04,1.1104740388e-04,2.8222251426e+02,1.7678891959e-06,3.6558257792e-06,-1.6863139606e-10,-5.1677137474e-07,-2.5498994935e-09,-2.5306984292e-09,9.0974060197e-11,-1.1524600437e-09,8.5443090585e-10,-1.5592058040e-03,1.6212121212e+00
-1.0068750000e+02,-2.2020246005e-04,9.9683852810e-05,2.8221493714e+02,1.7357077328e-06,3.5854670579e-06,-1.6789453554e-10,-5.1466403297e-07,-2.5398926547e-09,-2.5589937461e-09,7.7725988061e-11,-1.1289589097e-09,7.4262925122e-10,-1.5592050091e-03,1.6272727273e+00
-1.0106250000e+02,-2.1894803119e-04,8.7513080492e-05,2.8220738092e+02,1.7058747578e-06,3.5040929685e-06,-1.6772967054e-10,-5.1230423695e-07,-2.4927871890e-09,-2.4763585645e-09,8.7886059911e-11,-1.0921497181e-09,6.2876331511e-10,-1.5592041791e-03,1.6333333333e+00
-1.0143750000e+02,-2.1761774297e-04,7.6416373153e-05,2.8219981133e+02,1.6805485639e-06,3.4169398631e-06,-1.6702332907e-10,-5.1004993684e-07,-2.5576405528e-09,-2.5604612122e-09,6.5256978482e-11,-1.0593521431e-09,5.2675509106e-10,-1.5592035756e-03,1.6393939394e+00
-1.0181250000e+02,-2.1554556544e-04,6.5521195581e-05,2.8219226237e+02,1.6588432767e-06,3.3286723661e-06,-1.6661402132e-10,-5.0778839296e-07,-2.5456135172e-09,-2.5925778307e-09,5.8527523732e-11,-1.0285185698e-09,4.3516093139e-10,-1.5592028022e-03,1.6454545455e+00
-1.0218750000e+02,-2.1267684612e-04,5.5917649188e-05,2.8218473267e+02,1.6459507630e-06,3.2441078487e-06,-1.6572199609e-10,-5.0542822423e-07,-2.5375238207e-09,-2.6106530473e-09,5.3205513908e-11,-1.0209857193e-09,3.5819231687e-10,-1.5592017139e-03,1.6515151515e+00
-1.0256250000e+02,-2.0990151426e-04,4.8290881516e-05,2.8217722960e+02,1.6415916756e-06,3.1720688890e-06,-1.6484513574e-10,-5.0309264047e-07,-2.5199538388e-09,-2.6425834423e-09,5.9759377346e-11,-1.0411076928e-09,3.0384440368e-10,-1.5592003347e-03,1.6575757576e+00
-1.0293750000e+02,-2.0637032317e-04,4.2786214489e-05,2.8216972997e+02,1.6445216840e-06,3.1156581596e-06,-1.6409297317e-10,-5.0088666086e-07,-2.4280593974e-09,-2.6016639701e-09,6.4196967357e-11,-1.0742360412e-09,2.8602058241e-10,-1.5591982719e-03,1.6636363636e+00
-1.0331250000e+02,-2.0251899715e-04,4.0725888137e-05,2.8216222050e+02,1.6553145768e-06,3.0791343055e-06,-1.6329974035e-10,-4.9873177415e-07,-2.4765129432e-09,-2.7053357186e-09,3.6378683427e-11,-1.1164792511e-09,3.0613907671e-10,-1.5591958935e-03,1.6696969697e+00
-1.0368750000e+02,-1.9874030233e-04,4.1486042485e-05,2.8215473447e+02,1.6715875632e-06,3.0619004291e-06,-1.6279663591e-10,-4.9666511122e-07,-2.4745776793e-09,-2.7146527837e-09,2.1790855666e-11,-1.1574869090e-09,3.6319342676e-10,-1.5591929795e-03,1.6757575758e+00
-1.0406250000e+02,-1.9438617254e-04,4.4775819806e-05,2.8214725282e+02,1.6918201072e-06,3.0667962718e-06,-1.6216664707e-10,-4.9481174507e-07,-2.4869411917e-09,-2.7405750700e-09,1.6793142393e-11,-1.1875473854e-09,4.6416229738e-10,-1.5591897611e-03,1.6818181818e+00
-1.0443750000e+02,-1.9091027425e-04,4.9400538464e-05,2.8213978150e+02,1.7145731939e-06,3.0900458999e-06,-1.6163319455e-10,-4.9304411378e-07,-2.5156279180e-09,-2.8014159704e-09,-2.7778589299e-12,-1.2034017725e-09,6.0043397814e-10,-1.5591861199e-03,1.6878787879e+00
-1.0481250000e+02,-1.8785361970e-04,5.4400285566e-05,2.8213232884e+02,1.7375930819e-06,3.1295856419e-06,-1.6119718582e-10,-4.9136695602e-07,-2.4783613412e-09,-2.7761145588e-09,-1.5053411275e-11,-1.2041324386e-09,7.5672252838e-10,-1.5591819965e-03,1.6939393939e+00
-1.0518750000e+02,-1.8631748774e-04,6.0363401121e-05,2.8212484031e+02,1.7587461848e-06,3.1824331346e-06,-1.6013185860e-10,-4.8981591518e-07,-2.5191233401e-09,-2.8297791342e-09,-4.0563777910e-11,-1.1942482050e-09,9.3480892722e-10,-1.5591780171e-03,1.7000000000e+00
-1.0556250000e+02,-1.8470520452e-04,6.6293642443e-05,2.8211734086e+02,1.7756775004e-06,3.2463421764e-06,-1.5940093040e-10,-4.8825810534e-07,-2.4990479516e-09,-2.7757194365e-09,-3.4966705826e-11,-1.1732306274e-09,1.1198211082e-09,-1.5591738348e-03,1.7060606061e+00
