z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.4812500000e+01,2.9979969883e-03,-4.0337268220e-02,2.8314329504e+02,2.0139477152e-04,1.7653358440e-03,-1.2710422109e-07,-3.0109061402e-05,2.3884050592e-07,5.5464744226e-08,-1.1868621651e-09,2.7851648966e-06,-8.2582548214e-05,-9.6580792880e-03,2.4687500000e-01
-1.5187500000e+01,2.3731826356e-03,-3.9829996998e-02,2.8314328919e+02,1.9398754129e-04,1.7232502724e-03,-1.2277600182e-07,-3.0200797992e-05,2.3506243223e-07,5.3162456356e-08,-1.5895421664e-10,2.3547719162e-06,-7.9764660102e-05,-9.6573887687e-03,2.5312500000e-01
-1.5562500000e+01,1.7683395090e-03,-3.9325760200e-02,2.8314328315e+02,1.8755412044e-04,1.6819110972e-03,-1.1873905513e-07,-3.0274231853e-05,2.3201064027e-07,5.1317852505e-08,4.3758801871e-10,1.9580623090e-06,-7.7026772644e-05,-9.6566924999e-03,2.5937500000e-01
-1.5937500000e+01,1.1812603382e-03,-3.8824104339e-02,2.8314327703e+02,1.8198494879e-04,1.6413218521e-03,-1.1494471167e-07,-3.0330090119e-05,2.2784460047e-07,5.0379184465e-08,1.9736602664e-10,1.5902523011e-06,-7.4369792654e-05,-9.6559909806e-03,2.6562500000e-01
-1.6312500000e+01,6.1221373249e-04,-3.8327816552e-02,2.8314327075e+02,1.7722213162e-04,1.6016920861e-03,-1.1131780275e-07,-3.0371910920e-05,2.2259916394e-07,5.0181236001e-08,-2.3043896524e-10,1.2481804572e-06,-7.1806433955e-05,-9.6552898738e-03,2.7187500000e-01
-1.6687500000e+01,5.9041433324e-05,-3.7835446577e-02,2.8314326437e+02,1.7321626700e-04,1.5628709696e-03,-1.0783845480e-07,-3.0398492906e-05,2.1806399249e-07,4.9931916547e-08,-8.2244672414e-10,9.2905199227e-07,-6.9323492367e-05,-9.6545877892e-03,2.7812500000e-01
-1.7062500000e+01,-4.7831848190e-04,-3.7346872063e-02,2.8314325782e+02,1.6989085007e-04,1.5248500542e-03,-1.0448010063e-07,-3.0411492316e-05,2.1437529554e-07,4.8811561015e-08,-1.5026863353e-09,6.3147878592e-07,-6.6920221179e-05,-9.6538844799e-03,2.8437500000e-01
-1.7437500000e+01,-1.0008446282e-03,-3.6863516175e-02,2.8314325118e+02,1.6716275712e-04,1.4877142400e-03,-1.0126927191e-07,-3.0411848778e-05,2.1114267332e-07,4.6905736919e-08,-1.6405036545e-09,3.5299539759e-07,-6.4599719435e-05,-9.6531809345e-03,2.9062500000e-01
-1.7812500000e+01,-1.5096043944e-03,-3.6386179716e-02,2.8314324438e+02,1.6499684775e-04,1.4515339110e-03,-9.8188586858e-08,-3.0398843062e-05,2.0776193466e-07,4.4898357471e-08,-1.9027676654e-09,9.1955726957e-08,-6.2366204598e-05,-9.6524717627e-03,2.9687500000e-01
-1.8187500000e+01,-2.0051826023e-03,-3.5912946795e-02,2.8314323749e+02,1.6336967282e-04,1.4161133181e-03,-9.5258279909e-08,-3.0371150336e-05,2.0495842482e-07,4.3207192539e-08,-2.3224314992e-09,-1.5422707271e-07,-6.0203591138e-05,-9.6517504587e-03,3.0312500000e-01
