z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.8562500000e+01,-3.6799821991e-05,-3.4407455291e-05,2.8300580749e+02,5.0164972300e-05,4.9938175318e-05,-3.6272441215e-08,-6.1924201879e-08,8.5115571621e-08,7.2446863243e-08,-1.6817516028e-09,-6.1262338945e-09,-7.2465573107e-09,-2.5576717575e-04,3.1730769231e-01
-1.8937500000e+01,-3.5904785535e-05,-4.1852169166e-05,2.8300581751e+02,5.0103891400e-05,4.9829863984e-05,-3.6089586414e-08,-6.0174881369e-08,8.4514086188e-08,7.0654744247e-08,-1.8962596602e-09,-5.5273694127e-09,-7.9089858743e-09,-2.5550848664e-04,3.2371794872e-01
-1.9312500000e+01,-3.4146410541e-05,-4.8479519931e-05,2.8300582689e+02,5.0040819352e-05,4.9720821114e-05,-3.5893680517e-08,-5.8812028631e-08,8.3458016587e-08,7.0205341318e-08,-2.5944651462e-09,-4.7584067288e-09,-8.4709846419e-09,-2.5521225878e-04,3.3012820513e-01
-1.9687500000e+01,-3.1401912536e-05,-5.4307180314e-05,2.8300583546e+02,4.9974945041e-05,4.9609709483e-05,-3.5678819506e-08,-5.7457136876e-08,8.2100859725e-08,7.0477472915e-08,-3.1139660661e-09,-3.8058260802e-09,-8.7901380676e-09,-2.5488070070e-04,3.3653846154e-01
-2.0062500000e+01,-2.8122339902e-05,-5.9793536228e-05,2.8300584319e+02,4.9909767610e-05,4.9505622274e-05,-3.5466402227e-08,-5.6157606254e-08,8.0637946164e-08,7.1096318979e-08,-3.1617522646e-09,-2.7074547305e-09,-9.1268888668e-09,-2.5451553043e-04,3.4294871795e-01
-2.0437500000e+01,-2.4091363297e-05,-6.4679296515e-05,2.8300584991e+02,4.9845852281e-05,4.9402886005e-05,-3.5253111991e-08,-5.4656704766e-08,7.9311129988e-08,7.1378793689e-08,-2.9667888496e-09,-1.6111575368e-09,-9.3528000627e-09,-2.5411803888e-04,3.4935897436e-01
-2.0812500000e+01,-1.9998003144e-05,-6.9665875459e-05,2.8300585578e+02,4.9781336332e-05,4.9307568870e-05,-3.5039227447e-08,-5.3877186387e-08,7.8762803272e-08,7.0859148164e-08,-3.0067949115e-09,-6.7296024093e-10,-9.6098768039e-09,-2.5368865967e-04,3.5576923077e-01
-2.1187500000e+01,-1.6088094734e-05,-7.4326122954e-05,2.8300586080e+02,4.9715587939e-05,4.9210859743e-05,-3.4834416602e-08,-5.4461796183e-08,7.8788803007e-08,6.9889688783e-08,-3.1968169820e-09,1.5845520948e-10,-9.8234701979e-09,-2.5322879576e-04,3.6217948718e-01
-2.1562500000e+01,-1.2558478753e-05,-7.9392369039e-05,2.8300586505e+02,4.9642130989e-05,4.9112702970e-05,-3.4623120176e-08,-5.5663968548e-08,7.8465312524e-08,6.8997917330e-08,-3.1939138195e-09,8.8935235633e-10,-1.0131618573e-08,-2.5273994203e-04,3.6858974359e-01
-2.1937500000e+01,-9.2108621735e-06,-8.4498411540e-05,2.8300586861e+02,4.9571000587e-05,4.9008616516e-05,-3.4405645600e-08,-5.6735306102e-08,7.7720198231e-08,6.8142633069e-08,-2.9599394275e-09,1.5688143279e-09,-1.0646094295e-08,-2.5222237693e-04,3.7500000000e-01
-2.2312500000e+01,-6.5373949067e-06,-8.9376143903e-05,2.8300587130e+02,4.9491697947e-05,4.8903289650e-05,-3.4180405086e-08,-5.7099687428e-08,7.6769728338e-08,6.7136514348e-08,-2.3630563132e-09,2.0427136256e-09,-1.1172710203e-08,-2.5167589039e-04,3.8141025641e-01
